"","X","gene_id1","gene_name1","entry1","uid1","seq1_len","organism1","bit1","Neff1","NeffL1","aln1","gene_id2","gene_name2","entry2","uid2","seq2_len","organism2","bit2","Neff2","NeffL2","aln2","prefix","r_start_1","r_end_1","r_start_2","r_end_2","shared_domain","uid1_Pfam_domain","uid2_Pfam_domain","test","string","test2","pairwise_identity","X3d","complex_3d","3d","ecs_complete","ecs_anomaly"
"3306",625868,"ENSG00000130770","ATP5IF1","Q9UII2","ATIF1_HUMAN",106,"Homo sapiens (Human)",0.2,1098.6,10.3641509433962,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATIF1_HUMAN_1-106_b0.2/align/ATIF1_HUMAN_1-106_b0.2","ENSG00000100347","SAMM50","Q9Y512","SAM50_HUMAN",469,"Homo sapiens (Human)",0.2,15549.2,33.1539445628998,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SAM50_HUMAN_1-469_b0.2/align/SAM50_HUMAN_1-469_b0.2","sepmito_00625868",1,106,1,469,NA,"PF04568;","PF01103;","Q9UII2 Q9Y512",0,"Q9Y512 Q9UII2",6.8,NA,NA,NA,"Complete"," "
"816",938084,"ENSG00000115419","GLS","O94925","GLSK_HUMAN",669,"Homo sapiens (Human)",0.3,393.7,0.588490284005979,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GLSK_HUMAN_1-669_b0.3/align/GLSK_HUMAN_1-669_b0.3","ENSG00000178057","NDUFAF3","Q9BU61","NDUF3_HUMAN",184,"Homo sapiens (Human)",0.2,3248.2,17.6532608695652,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUF3_HUMAN_1-184_b0.2/align/NDUF3_HUMAN_1-184_b0.2","sepmito_00938084",1,669,1,184,NA,"PF12796;PF17959;PF04960;","PF04430;","O94925 Q9BU61",0,"Q9BU61 O94925",9.9,NA,NA,NA,"Complete"," "
"4190",1305027,"ENSG00000114383","TUSC2","O75896","TUSC2_HUMAN",110,"Homo sapiens (Human)",0.2,92.6,0.841818181818182,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TUSC2_HUMAN_1-110_b0.2/align/TUSC2_HUMAN_1-110_b0.2","ENSG00000169519","METTL15","A6NJ78","MET15_HUMAN",407,"Homo sapiens (Human)",0.2,9618.2,23.631941031941,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MET15_HUMAN_1-407_b0.2/align/MET15_HUMAN_1-407_b0.2","sepmito_01305027",1,110,1,407,NA,"PF15000;","PF01795;","O75896 A6NJ78",0,"A6NJ78 O75896",9.6,NA,NA,NA,"Complete"," "
"3730",436462,"ENSG00000198742","SMURF1","Q9HCE7","SMUF1_HUMAN",757,"Homo sapiens (Human)",0.3,2320.8,3.06578599735799,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SMUF1_HUMAN_1-757_b0.3/align/SMUF1_HUMAN_1-757_b0.3","ENSG00000198899","MT-ATP6","P00846","ATP6_HUMAN",226,"Homo sapiens (Human)",0.2,9457.4,41.8469026548673,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATP6_HUMAN_1-226_b0.2/align/ATP6_HUMAN_1-226_b0.2","sepmito_00436462",1,757,1,226,NA,"PF00168;PF00632;PF00397;","PF00119;","Q9HCE7 P00846",0,"P00846 Q9HCE7",7.7,NA,NA,NA,"Complete"," "
"2052",736721,"ENSG00000238205","MPC1L","P0DKB6","MPC1L_HUMAN",136,"Homo sapiens (Human)",0.2,747.2,5.49411764705882,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MPC1L_HUMAN_1-136_b0.2/align/MPC1L_HUMAN_1-136_b0.2","ENSG00000169288","MRPL1","Q9BYD6","RM01_HUMAN",325,"Homo sapiens (Human)",0.2,5120.7,15.756,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM01_HUMAN_1-325_b0.2/align/RM01_HUMAN_1-325_b0.2","sepmito_00736721",1,136,1,325,NA,"PF03650;","PF00687;","P0DKB6 Q9BYD6",0,"Q9BYD6 P0DKB6",9.5,NA,NA,NA,"Complete"," "
"2168",636858,"ENSG00000099821","POLRMT","O00411","RPOM_HUMAN",1230,"Homo sapiens (Human)",0.2,1046.3,0.850650406504065,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RPOM_HUMAN_1-1230_b0.2/align/RPOM_HUMAN_1-1230_b0.2","ENSG00000071082","RPL31","P62899","RL31_HUMAN",125,"Homo sapiens (Human)",0.2,853.3,6.8264,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RL31_HUMAN_1-125_b0.2/align/RL31_HUMAN_1-125_b0.2","sepmito_00636858",1,1230,1,125,NA,"PF00940;PF14700;","PF01198;","O00411 P62899",0,"P62899 O00411",4.1,NA,NA,NA,"Complete"," "
"2101",655676,"ENSG00000087088","BAX","Q07812","BAX_HUMAN",192,"Homo sapiens (Human)",0.2,988.7,5.14947916666667,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/BAX_HUMAN_1-192_b0.2/align/BAX_HUMAN_1-192_b0.2","ENSG00000126602","TRAP1","Q12931","TRAP1_HUMAN",704,"Homo sapiens (Human)",0.2,4345.7,6.17286931818182,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TRAP1_HUMAN_1-704_b0.2/align/TRAP1_HUMAN_1-704_b0.2","sepmito_00655676",1,192,1,704,NA,"PF00452;","PF00183;","Q07812 Q12931",0,"Q12931 Q07812",9.4,NA,NA,NA,"Complete"," "
"433",1153155,"ENSG00000140990","NDUFB10","O96000","NDUBA_HUMAN",172,"Homo sapiens (Human)",0.2,180.5,1.04941860465116,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUBA_HUMAN_1-172_b0.2/align/NDUBA_HUMAN_1-172_b0.2","ENSG00000247626","MARS2","Q96GW9","SYMM_HUMAN",593,"Homo sapiens (Human)",0.3,27575.7,46.502023608769,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SYMM_HUMAN_1-593_b0.3/align/SYMM_HUMAN_1-593_b0.3","sepmito_01153155",1,172,1,593,NA,"PF10249;","PF09334;","O96000 Q96GW9",0,"Q96GW9 O96000",8.1,NA,NA,NA,"Complete"," "
"1134",1138899,"ENSG00000139641","ESYT1","Q9BSJ8","ESYT1_HUMAN",1104,"Homo sapiens (Human)",0.2,190.4,0.172463768115942,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ESYT1_HUMAN_1-1104_b0.2/align/ESYT1_HUMAN_1-1104_b0.2","ENSG00000143252","SDHC","Q99643","C560_HUMAN",169,"Homo sapiens (Human)",0.2,6649.5,39.3461538461538,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/C560_HUMAN_1-169_b0.2/align/C560_HUMAN_1-169_b0.2","sepmito_01138899",1,1104,1,169,NA,"PF00168;PF17047;","PF01127;","Q9BSJ8 Q99643",0,"Q99643 Q9BSJ8",5.8,NA,NA,NA,"Complete"," "
"86",947138,"ENSG00000197226","TBC1D9B","Q66K14","TBC9B_HUMAN",1250,"Homo sapiens (Human)",0.2,375.8,0.30064,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TBC9B_HUMAN_1-1250_b0.2/align/TBC9B_HUMAN_1-1250_b0.2","ENSG00000178057","NDUFAF3","Q9BU61","NDUF3_HUMAN",184,"Homo sapiens (Human)",0.2,3248.2,17.6532608695652,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUF3_HUMAN_1-184_b0.2/align/NDUF3_HUMAN_1-184_b0.2","sepmito_00947138",1,1250,1,184,NA,"PF02893;PF00566;","PF04430;","Q66K14 Q9BU61",0,"Q9BU61 Q66K14",6.3,NA,NA,NA,"Complete"," "
"3846",1342767,"ENSG00000107518","ATRNL1","Q5VV63","ATRN1_HUMAN",1379,"Homo sapiens (Human)",0.2,67.1,0.0486584481508339,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATRN1_HUMAN_1-1379_b0.2/align/ATRN1_HUMAN_1-1379_b0.2","ENSG00000178057","NDUFAF3","Q9BU61","NDUF3_HUMAN",184,"Homo sapiens (Human)",0.2,3248.2,17.6532608695652,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUF3_HUMAN_1-184_b0.2/align/NDUF3_HUMAN_1-184_b0.2","sepmito_01342767",1,1379,1,184,NA,"PF00431;PF07974;PF00059;PF01437;","PF04430;","Q5VV63 Q9BU61",0,"Q9BU61 Q5VV63",4.9,NA,NA,NA,"Complete"," "
"434",1282738,"ENSG00000124374","PAIP2B","Q9ULR5","PAI2B_HUMAN",123,"Homo sapiens (Human)",0.2,102.1,0.830081300813008,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PAI2B_HUMAN_1-123_b0.2/align/PAI2B_HUMAN_1-123_b0.2","ENSG00000033050","ABCF2","Q9UG63","ABCF2_HUMAN",623,"Homo sapiens (Human)",0.3,21848.1,35.0691813804173,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ABCF2_HUMAN_1-623_b0.3/align/ABCF2_HUMAN_1-623_b0.3","sepmito_01282738",1,123,1,623,NA,"PF07145;","PF00005;PF12848;","Q9ULR5 Q9UG63",0,"Q9UG63 Q9ULR5",7.5,NA,NA,NA,"Complete"," "
"991",807276,"ENSG00000135862","LAMC1","P11047","LAMC1_HUMAN",1609,"Homo sapiens (Human)",0.3,627.3,0.389869484151647,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/LAMC1_HUMAN_1-1609_b0.3/align/LAMC1_HUMAN_1-1609_b0.3","ENSG00000185818","NAT8L","Q8N9F0","NAT8L_HUMAN",302,"Homo sapiens (Human)",0.2,6757.8,22.376821192053,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NAT8L_HUMAN_1-302_b0.2/align/NAT8L_HUMAN_1-302_b0.2","sepmito_00807276",1,1609,1,302,NA,"PF00052;PF00053;PF00055;","PF00583;","P11047 Q8N9F0",0,"Q8N9F0 P11047",6.9,NA,NA,NA,"Complete"," "
"3422",975927,"ENSG00000132361","CLUH","O75153","CLU_HUMAN",1309,"Homo sapiens (Human)",0.2,337.7,0.257983193277311,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CLU_HUMAN_1-1309_b0.2/align/CLU_HUMAN_1-1309_b0.2","ENSG00000181035","SLC25A42","Q86VD7","S2542_HUMAN",318,"Homo sapiens (Human)",0.2,17228,54.1761006289308,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/S2542_HUMAN_1-318_b0.2/align/S2542_HUMAN_1-318_b0.2","sepmito_00975927",1,1309,1,318,NA,"PF13236;PF15044;PF12807;","PF00153;","O75153 Q86VD7",0,"Q86VD7 O75153",8.6,NA,NA,NA,"Complete"," "
"1983",253853,"ENSG00000132153","DHX30","Q7L2E3","DHX30_HUMAN",1194,"Homo sapiens (Human)",0.2,5186.3,4.34363484087102,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DHX30_HUMAN_1-1194_b0.2/align/DHX30_HUMAN_1-1194_b0.2","ENSG00000110011","DNAJC4","Q9NNZ3","DNJC4_HUMAN",241,"Homo sapiens (Human)",0.2,12330.3,51.1630705394191,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DNJC4_HUMAN_1-241_b0.2/align/DNJC4_HUMAN_1-241_b0.2","sepmito_00253853",1,1194,1,241,NA,"PF00270;PF04408;PF00271;PF07717;","PF00226;","Q7L2E3 Q9NNZ3",0,"Q9NNZ3 Q7L2E3",7.9,NA,NA,NA,"Complete"," "
"3130",487738,"ENSG00000274768","CISD3","P0C7P0","CISD3_HUMAN",127,"Homo sapiens (Human)",0.2,1796.6,14.1464566929134,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CISD3_HUMAN_1-127_b0.2/align/CISD3_HUMAN_1-127_b0.2","ENSG00000183773","AIFM3","Q96NN9","AIFM3_HUMAN",605,"Homo sapiens (Human)",0.3,18612.1,30.7638016528926,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/AIFM3_HUMAN_1-605_b0.3/align/AIFM3_HUMAN_1-605_b0.3","sepmito_00487738",1,127,1,605,NA,"PF09360;","PF07992;PF14759;PF00355;","P0C7P0 Q96NN9",0,"Q96NN9 P0C7P0",7.1,NA,NA,NA,"Complete"," "
"3457",280835,"ENSG00000182712","CMC4","P56277","CMC4_HUMAN",68,"Homo sapiens (Human)",0.2,4620.8,67.9529411764706,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CMC4_HUMAN_1-68_b0.2/align/CMC4_HUMAN_1-68_b0.2","ENSG00000198763","MT-ND2","P03891","NU2M_HUMAN",347,"Homo sapiens (Human)",0.4,33790.1,97.3778097982709,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NU2M_HUMAN_1-347_b0.4/align/NU2M_HUMAN_1-347_b0.4","sepmito_00280835",1,68,1,347,NA,"PF08991;","PF06444;PF00361;","P56277 P03891",0,"P03891 P56277",5.5,NA,NA,NA,"Complete"," "
"1954",653403,"ENSG00000167985","SDHAF2","Q9NX18","SDHF2_HUMAN",166,"Homo sapiens (Human)",0.2,1001.7,6.03433734939759,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SDHF2_HUMAN_1-166_b0.2/align/SDHF2_HUMAN_1-166_b0.2","ENSG00000164347","GFM2","Q969S9","RRF2M_HUMAN",779,"Homo sapiens (Human)",0.2,11316.5,14.5269576379974,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RRF2M_HUMAN_1-779_b0.2/align/RRF2M_HUMAN_1-779_b0.2","sepmito_00653403",1,166,1,779,NA,"PF03937;","PF00679;PF14492;PF03764;PF00009;PF03144;","Q9NX18 Q969S9",0,"Q969S9 Q9NX18",7.4,NA,NA,NA,"Complete"," "
"3354",1300241,"ENSG00000184867","ARMCX2","Q7L311","ARMX2_HUMAN",632,"Homo sapiens (Human)",0.4,93.7,0.148259493670886,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ARMX2_HUMAN_1-632_b0.4/align/ARMX2_HUMAN_1-632_b0.4","ENSG00000163319","MRPS18C","Q9Y3D5","RT18C_HUMAN",142,"Homo sapiens (Human)",0.3,2474.4,17.4253521126761,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RT18C_HUMAN_1-142_b0.3/align/RT18C_HUMAN_1-142_b0.3","sepmito_01300241",1,632,1,142,NA,"PF04826;","PF01084;","Q7L311 Q9Y3D5",0,"Q9Y3D5 Q7L311",6.5,NA,NA,NA,"Complete"," "
